name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
物联网沪港深ETF,517660,0.845,10096,9988,跨境，香港，物联网,0.60%,天弘基金,2021-10-25,SHS物联网指数,936.7,10751,11528,11133,10000,10000,0.336
疫苗龙头ETF,159645,1.07,9991,10000,行业，医药，生物科技,0.60%,富国基金,2022-09-26,疫苗生科指数,925.32,10028,9991,10000,10000,10000,0.37
中证800ETF,515810,1.254,10024,9976,宽基，综合,0.20%,易方达基金,2019-10-25,中证800指数,766.58,10228,10663,10262,13158,10000,1.37
泰康碳中和ETF,560560,0.736,10082,9986,主题，低碳,0.60%,泰康资产,2021-09-13,内地低碳指数,774.04,9800,9621,9154,10000,10000,1.18
泰康智能电车ETF,159720,0.715,10171,9986,主题，智能汽车,0.60%,泰康资产,2021-07-20,智能电车指数,812.28,10288,10042,9533,10000,10000,0.803
新材料ETF,516360,0.971,10125,9979,主题，新兴产业，新材料,0.60%,华宝基金,2021-05-13,新材料指数,787.04,9949,10210,9355,10000,10000,1.34
消费电子50ETF,562950,0.786,10181,10000,主题，消费电子,0.20%,易方达基金,2022-01-20,消费电子指数,832.81,11644,12037,11309,10000,10000,0.746
香港科技ETF,513560,0.952,10042,9969,跨境，香港，科技,0.60%,兴银基金,2023-02-13,HKC科技港币指数,775.09,10721,10000,10000,10000,10000,4.49
成渝经济圈ETF,159623,0.931,10076,10000,主题，区域，成渝,0.45%,博时基金,2022-09-09,成渝经济圈指数,800.07,10032,10604,10000,10000,10000,32.65
沪深300ETF平安,510390,4.228,10050,10002,宽基，大盘股,0.60%,平安基金,2018-01-26,沪深300指数,726.18,10220,10567,10122,12082,12110,7.52
MSCI中国A股ETF,512160,1.187,10034,9992,MSCI,0.60%,南方基金,2018-04-27,MSCI中国A股国际通指数,688.99,10119,10468,10144,13366,10000,4.28
MSCI中国ETF招商,515160,1.288,10039,9984,MSCI,0.60%,招商基金,2020-03-02,MSCI中国A股国际通指数,743.38,10158,10438,10118,13445,10000,8.31
深证100ETF华安,159706,0.77,10065,9987,宽基，大盘股,0.20%,华安基金,2021-12-20,深证100指数,670.73,10132,10391,9897,10000,10000,0.706
建材ETF易方达,159787,0.89,10068,10000,行业，建筑材料,0.20%,易方达基金,2022-03-15,建筑材料指数,650.42,9813,10289,8768,10000,10000,0.221
核心50ETF,560650,1.034,10039,9981,主题，ESG,0.60%,民生加银基金,2022-06-27,企业核心竞争力50指数,729.12,10423,11000,10000,10000,10000,0.329
消费电子50ETF,159733,0.839,10060,9976,主题，消费电子,0.60%,景顺长城基金,2021-09-29,消费电子指数,749.0,11620,11986,11157,10000,10000,0.309
文娱传媒ETF,516190,1.2,9836,9992,行业，TMT,0.60%,华夏基金,2021-09-17,文娱传媒指数,657.69,12725,14303,14303,10000,10000,0.173
